1728248129514
1728248134127,1,3,-1.1400293,2.9985645,8.461604
1728248134137,1,3,-1.0585986,3.0991552,8.386161
1728248134147,1,3,-1.0382409,3.0847852,8.274793
1728248134157,1,3,-1.0957215,3.1410682,8.315508
1728248134167,1,3,-1.0585986,3.0787976,8.382568
1728248134177,1,3,-1.155597,3.1482532,8.375383
1728248134187,1,3,-1.1567944,3.2213013,8.402926
1728248134196,1,3,-1.2058923,3.2871642,8.36221
1728248134206,1,3,-1.5124549,3.241659,8.129894
1728248134216,1,3,-1.6022681,3.4093103,8.309521
1728248134226,1,3,-1.5483801,3.4069152,8.458012
1728248134236,1,3,-1.5639478,3.2404613,8.517887
1728248134246,1,3,-1.5028747,3.1243029,8.538244
1728248134256,1,3,-1.6202307,3.1578333,8.632848
1728248134265,1,3,-1.5783179,3.1135254,8.575367
1728248134275,1,3,-1.6860938,3.3242872,8.465197
1728248134285,1,3,-1.6082556,3.2380664,8.54064
1728248134295,1,3,-1.6381934,3.121908,8.595725
1728248134305,1,3,-1.6765137,3.0811927,8.413704
1728248134315,1,3,-1.5639478,3.102748,8.520282
1728248134325,1,3,-1.6310083,3.1913636,8.58375
1728248134334,1,3,-1.705254,3.1985486,8.534652
1728248134344,1,3,-1.7519568,3.2524366,8.5011215
1728248134354,1,3,-1.5663428,3.3374598,8.462802
1728248134364,1,3,-1.6094531,3.3673975,8.268805
1728248134374,1,3,-1.5603552,3.3518298,8.062833
1728248134384,1,3,-1.5364051,3.610492,7.570657
1728248134394,1,3,-1.6250207,4.0511756,6.9826794
1728248134403,1,3,-1.5543677,4.7253737,6.0546093
1728248134413,1,3,-1.5328125,5.476212,4.9948134
1728248134423,1,3,-1.3052857,6.15041,3.906277
1728248134433,1,3,-1.1160791,7.1527257,2.718347
1728248134443,1,3,-1.2801379,6.7695227,1.780697
1728248134453,1,3,-1.4609619,5.210365,1.4154565
1728248134462,1,3,-1.421444,3.197351,1.9088305
1728248134472,1,3,-1.4358143,1.2909155,2.2824535
1728248134482,1,3,-1.4609619,-0.09699829,2.3052063
1728248134492,1,3,-1.5998731,-1.3927039,1.7842896
1728248134502,1,3,-2.1363573,-3.234474,1.2274475
1728248134512,1,3,-2.0896544,-6.1108923,2.090852
1728248134522,1,3,-2.5542884,-9.760902,1.7771045
